nom_du_musee,année,region,ville,payant,gratuit,total,id_museofile
Musée de l'Ardoise,2009,PAYS DE LA LOIRE,TRELAZE,8951,3813,12764,
Centre Minier de Faymoreau,2009,PAYS DE LA LOIRE,FAYMOREAU,21520,7437,28957,
Musée des Traditions de l'Île,2009,PAYS DE LA LOIRE,LA GUERINIERE,5432,358,5790,
Musée Milcendeau Jean-Yole,2009,PAYS DE LA LOIRE,SOULLANS,1562,2086,3648,
Musée Jeanne d'Aboville,2009,PICARDIE,LA FERE,173,163,336,
Musée Antoine Vivenel,2009,PICARDIE,COMPIEGNE,1631,10065,11696,
Musée Gallé-Juillet,2009,PICARDIE,CREIL,2521,5392,7913,
Musée de l'Archerie et de l'Art Sacré,2009,PICARDIE,CREPY-EN-VALOIS,3134,2781,5915,
Musée de la Vénerie,2009,PICARDIE,SENLIS,9052,6771,15823,
Musée Boucher-de-Perthes,2009,PICARDIE,ABBEVILLE,12552,0,12552,
Musée de Picardie,2009,PICARDIE,AMIENS,908,12053,12961,
Atelier - Musée du Papier,2009,POITOU-CHARENTES,ANGOULEME,0,12132,12132,
Musée du Nouveau Monde,2009,POITOU-CHARENTES,LA ROCHELLE,4110,9653,13763,
Muséum d'Histoire Naturelle,2009,POITOU-CHARENTES,LA ROCHELLE,9389,30229,39618,
Musée d'Orbigny-Bernon,2009,POITOU-CHARENTES,LA ROCHELLE,2234,6543,8777,
Musée de la Maison de Pierre Loti,2009,POITOU-CHARENTES,ROCHEFORT,26354,3206,29560,
Musée de l'Echevinage,2009,POITOU-CHARENTES,SAINTES,914,3685,4599,
Musée Ernest Cognacq,2009,POITOU-CHARENTES,SAINT-MARTIN-DE-RE,8298,3461,11759,
Musée de l'Ile d'Oléron,2009,POITOU-CHARENTES,ST-PIERRE D'OLERON,10630,2930,13560,
Musée des Tumulus de Bougon,2009,POITOU-CHARENTES,BOUGON,12135,12025,24160,
Musée Henri Barré,2009,POITOU-CHARENTES,THOUARS,642,1923,2565,
Musée Municipal de l'Hôtel de Sully,2009,POITOU-CHARENTES,CHATELLERAULT,0,2741,2741,
Musée des Traditions Populaires et d'Archéologie,2009,POITOU-CHARENTES,CHAUVIGNY,7781,2891,10672,
Musée de la vallée,2009,PROVENCE-ALPES-CÔTE D'AZUR,BARCELONNETTE,11218,1526,12744,
Musée Gassendi,2009,PROVENCE-ALPES-CÔTE D'AZUR,DIGNE-LES-BAINS,2355,6563,8918,
Musée départemental de préhistoire,2009,PROVENCE-ALPES-CÔTE D'AZUR,QUINSON,61647,13475,75122,
Musée Archéologique,2009,PROVENCE-ALPES-CÔTE D'AZUR,RIEZ-LA-ROMAINE,476,467,943,
Musée du Vieux Sisteron,2009,PROVENCE-ALPES-CÔTE D'AZUR,SISTERON,0,385,385,
Musée de la Mer,2009,PROVENCE-ALPES-CÔTE D'AZUR,CANNES,48638,35821,84459,
Musée Départemental des Arts Asiatiques,2009,PROVENCE-ALPES-CÔTE D'AZUR,NICE,9028,77200,86228,
Musée des Beaux-Arts Jules Chéret,2009,PROVENCE-ALPES-CÔTE D'AZUR,NICE,0,66756,66756,
Musée Matisse,2009,PROVENCE-ALPES-CÔTE D'AZUR,NICE,0,134990,134990,
Musée Départemental des Merveilles,2009,PROVENCE-ALPES-CÔTE D'AZUR,TENDE,0,32987,32987,
Musée du Parlement de Provence et du Vieil Aix,2009,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,0,15482,15482,
Musée du Pavillon de Vendôme,2009,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,6018,11102,17120,
Musée Granet,2009,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,335023,114686,449709,
Musée Paul Arbaud,2009,PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE,568,1931,2499,
Musée d'Histoire et d'Archéologie des Baux-de-Provence,2009,PROVENCE-ALPES-CÔTE D'AZUR,LES BAUX DE PROVENCE,223838,36454,260292,
Musée Frédéric Mistral,2009,PROVENCE-ALPES-CÔTE D'AZUR,MAILLANE,2331,3298,5629,
Muséum d'Histoire Naturelle,2009,PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE,11169,43296,54465,
Musée Ziem,2009,PROVENCE-ALPES-CÔTE D'AZUR,MARTIGUES,0,16172,16172,
Musée des Alpilles,2009,PROVENCE-ALPES-CÔTE D'AZUR,SAINT-REMY-DE-PROVENCE,2967,6137,9104,
Musée Municipal,2009,PROVENCE-ALPES-CÔTE D'AZUR,DRAGUIGNAN,0,12002,12002,
Muséum d'Histoire Naturelle de Toulon,2009,PROVENCE-ALPES-CÔTE D'AZUR,TOULON,0,40794,40794,
Musée National de la Marine de Toulon,2009,PROVENCE-ALPES-CÔTE D'AZUR,TOULON,15757,35629,51386,
Musée d'Apt,2009,PROVENCE-ALPES-CÔTE D'AZUR,APT,2869,5706,8575,
Musée Municipal,2009,PROVENCE-ALPES-CÔTE D'AZUR,SAULT,57,1277,1334,
Musée du Brou,2009,RHONE-ALPES,BOURG-EN-BRESSE,47734,22081,69815,
Musée de la Résistance et de la Déportation de l'Ain,2009,RHONE-ALPES,NANTUA,5769,3891,9660,
Musée du Peigne et de la Plasturgie,2009,RHONE-ALPES,OYONNAX,2452,2878,5330,
Musée et Site Archéologiques,2009,RHONE-ALPES,SOYONS,10356,2138,12494,
Musée des Beaux-Arts,2009,RHONE-ALPES,VALENCE,589,9914,10503,
Musée Lapidaire Saint-Pierre,2009,RHONE-ALPES,VIENNE,2387,3959,6346,
Musée d'Allard,2009,RHONE-ALPES,MONTBRISON,2898,5923,8821,
Musée de la Diana,2009,RHONE-ALPES,MONTBRISON,1643,0,1643,
Musée des Beaux-Arts et d'Archéologie J. Dechelette,2009,RHONE-ALPES,ROANNE,2741,10701,13442,
Musée d'Art et d'Industrie,2009,RHONE-ALPES,SAINT-ETIENNE,19465,13744,33209,
Musées Gadagne,2009,RHONE-ALPES,LYON,32397,37190,69587,
Centre d'Histoire de la Résistance et de la Déportation,2009,RHONE-ALPES,LYON,15932,39939,55871,
Musée de la Poterie,2010,ALSACE,BETSCHDORF,2048,620,2668,
Musée des Beaux-Arts,2010,ALSACE,STRASBOURG,8491,37139,45630,
Musée Sundgauvien d'Altkirch,2010,ALSACE,ALTKIRCH,2529,1538,4067,
Musée Bartholdi,2010,ALSACE,COLMAR,7574,3673,11247,
Musée d'Histoire Naturelle et d'Ethnographie de Colmar,2010,ALSACE,COLMAR,7353,4635,11988,
Musée Historique et Militaire de Huningue,2010,ALSACE,HUNINGE,177,242,419,
Musée Historique,2010,ALSACE,MULHOUSE,0,34312,34312,
Musée EDF Electropolis,2010,ALSACE,MULHOUSE,24681,11186,35867,
Musée du Dolder,2010,ALSACE,RIQUEWIHR,2800,625,3425,
Musée des Amis de Thann,2010,ALSACE,THANN,635,1036,1671,
Musée Paul Reclus,2010,AQUITAINE,DOMME,324,11694,12018,
Musée d'Art et d'Archéologie du Périgord (MAAP),2010,AQUITAINE,PERIGUEUX,7210,14385,21595,
Musée du Site Médiéval,2010,AQUITAINE,SAINT-AVIT-SENIEUR,0,5000,5000,
Muséum d'Histoire Naturelle de Bordeaux,2010,AQUITAINE,BORDEAUX,1016,9830,10846,
Musée Archéologique,2010,AQUITAINE,HASTINGUES,3883,5955,9838,
Musée des Beaux-Arts,2010,AQUITAINE,AGEN,11144,19442,30586,
Musée Municipal Albert Marzelles,2010,AQUITAINE,MARMANDE,0,4798,4798,
Musée Municipal (Moulin de Gajac),2010,AQUITAINE,VILLENEUVE-SUR-LOT,4146,3899,8045,
Musée Municipal,2010,AQUITAINE,ARUDY,1264,360,1624,
Musée Municipal de Guéthary,2010,AQUITAINE,GUETHARY,702,1445,2147,
Musée National du Château,2010,AQUITAINE,PAU,70452,86458,156910,
Musée Municipal des Beaux-Arts,2010,AQUITAINE,PAU,32496,0,32496,
Musée Bernadotte,2010,AQUITAINE,PAU,6141,0,6141,
Musée Municipal de Gannat,2010,AUVERGNE,GANNAT,812,930,1742,
Musée d'Art et d'Archéologie,2010,AUVERGNE,AURILLAC,1874,14821,16695,
Ecomusée de Margeride-Haute-Auvergne,2010,AUVERGNE,RUYNES-EN-MARGERIDE,9904,2965,12869,
Musée des Peintres de l'Ecole de Murols,2010,AUVERGNE,MUROL,3847,372,4219,
Musée Francisque Mandet,2010,AUVERGNE,RIOM,624,2947,3571,
Musée du Vin de Bourgogne,2010,BOURGOGNE,BEAUNE,20526,3316,23842,
Musée du Pays Châtillonnais - Trésor de Vix,2010,BOURGOGNE,CHATILLON-SUR-SEINE,21283,6427,27710,
Musée Archéologique,2010,BOURGOGNE,DIJON,0,20312,20312,
Musée des Beaux-Arts,2010,BOURGOGNE,DIJON,0,154127,154127,
Musée Auguste Grasset,2010,BOURGOGNE,VARZY,1646,1056,2702,
Musée Rolin,2010,BOURGOGNE,AUTUN,12453,7550,20003,
Musée d'Art et d'Archéologie,2010,BOURGOGNE,CLUNY,111190,41990,153180,
Ecomusée de la Bresse Bourguignonne,2010,BOURGOGNE,PIERRE-DE-BRESSE,25079,13216,38295,
Musée Départemental de Préhistoire de Solutré,2010,BOURGOGNE,SOLUTRE-POUILLY,15363,11515,26878,
Musée de l'Aventure du Son,2010,BOURGOGNE,SAINT-FARGEAU,4589,234,4823,
Musée d'Art et d'Histoire,2010,BRETAGNE,SAINT-BRIEUC,0,39422,39422,
Ecomusée d'Ouessant - Vivre sur une Ile,2010,BRETAGNE,OUESSANT,5838,4313,10151,
Musée de Pont-Aven,2010,BRETAGNE,PONT-AVEN,31415,11858,43273,
Musée Bigouden,2010,BRETAGNE,PONT-L'ABBE,12420,1983,14403,
Musée Départemental Breton,2010,BRETAGNE,QUIMPER,28231,11944,40175,
Musée de la Faucillonnaie,2010,BRETAGNE,MONTREUIL-SOUS-PEROUSE,15,181,196,
Ecomusée du Pays de Rennes,2010,BRETAGNE,RENNES,12747,32438,45185,
Musée des Meilleurs Ouvriers de France,2010,CENTRE,BOURGES,0,19756,19756,
Musée de l'Hospice Saint-Roch,2010,CENTRE,ISSOUDUN,143,19017,19160,
Musée de Préhistoire du Grand Pressigny,2010,CENTRE,LE GRAND PRESSIGNY,10398,8413,18811,
Musée des Beaux-Arts,2010,CENTRE,TOURS,18794,34303,53097,
Musée de Minerve,2010,CENTRE,YZEURES-SUR-CREUSE,0,700,700,
Muséum d'Histoire Naturelle,2010,CENTRE,BLOIS,4890,8893,13783,
Maison de la Magie,2010,CENTRE,BLOIS,60678,18867,79545,
Musée de Vendôme,2010,CENTRE,VENDOME,1372,7764,9136,
Musée Municipal Théâtre Forain et Archéologique,2010,CENTRE,ARTENAY,6275,3779,10054,
Château-Musée de Gien,2010,CENTRE,GIEN,15842,3042,18884,
Musée du Gatinais,2010,CENTRE,MONTARGIS,0,97,97,
Musée Historique et Archéologique,2010,CENTRE,ORLEANS,761,2888,3649,
Musée des Beaux-Arts,2010,CENTRE,ORLEANS,8711,44845,53556,
Pharmacie Musée de l'Hôtel-Dieu,2010,CHAMPAGNE-ARDENNES,TROYES,2778,2778,5556,
Musée d'Art et d'Histoire,2010,CHAMPAGNE-ARDENNES,LANGRES,4386,3201,7587,
Musée Hôtel le Vergeur,2010,CHAMPAGNE-ARDENNES,REIMS,7574,5990,13564,
Musée de la Maison Bonaparte,2010,CORSE,AJACCIO,48960,20334,69294,
Musée de l'Alta Rocca,2010,CORSE,LEVIE,6592,6437,13029,
Musée d'Histoire de Bastia,2010,CORSE,BASTIA,10139,5630,15769,
Muséum de Besançon,2010,FRANCHE-COMTE,BESANCON,189664,43489,233153,
Musée du Jouet,2010,FRANCHE-COMTE,MOIRANS-EN-MONTAGNE,16565,1567,18132,
Musée des Cultures Guyanaises,2010,GUYANE,CAYENNE,1405,7875,9280,
Musée du Château,2010,ILE-DE-FRANCE,DOURDAN,9814,7149,16963,
Musée Intercommunal d'Etampes,2010,ILE-DE-FRANCE,ETAMPES,1563,12630,14193,
Musée Départemental Albert-Kahn,2010,ILE-DE-FRANCE,BOULOGNE-BILLANCOURT,78417,35149,113566,
Musée Municipal d'Art et d'Histoire,2010,ILE-DE-FRANCE,COLOMBES,0,6628,6628,
Musée - Atelier Rodin (Annexe du musée de Paris),2010,ILE-DE-FRANCE,MEUDON,3560,3718,7278,
Musée des Automates,2010,ILE-DE-FRANCE,NEUILLY-SUR-SEINE,0,1382,1382,
Musée Municipal de Saint-Cloud,2010,ILE-DE-FRANCE,SAINT-CLOUD,1240,18675,19915,
Etablissement public du musée d'Orsay et de l'Orangerie - Musée d'Orsay,2010,ILE-DE-FRANCE,PARIS,1637995,1347515,2985510,
Musée de la Franc-Maçonnerie,2010,ILE-DE-FRANCE,PARIS,12451,3307,15758,
Musée de Montmartre,2010,ILE-DE-FRANCE,PARIS,34928,2928,37856,
Musée Zadkine,2010,ILE-DE-FRANCE,PARIS,15712,10984,26696,
Mémorial du Maréchal Leclerc de Hauteclocque et de la Libération de Paris-musée Jean Moulin,2010,ILE-DE-FRANCE,PARIS,3379,12073,15452,
Musée National Auguste Rodin,2010,ILE-DE-FRANCE,PARIS,438217,276051,714268,
Musée du Louvre,2010,ILE-DE-FRANCE,PARIS,5162394,3184027,8346421,
Musée de la Chasse et de la Nature,2010,ILE-DE-FRANCE,PARIS,19954,19381,39335,
Musée d'Art et d'Histoire du Judaïsme,2010,ILE-DE-FRANCE,PARIS,85361,41860,127221,
Musée National des Techniques,2010,ILE-DE-FRANCE,PARIS,83588,126460,210048,
Musée du Service de Santé des Armées du Val-de-Grâce,2010,ILE-DE-FRANCE,PARIS,7464,6393,13857,
Musée de la Poste,2010,ILE-DE-FRANCE,PARIS,25977,59712,85689,
Musée du Château de Fontainebleau,2010,ILE-DE-FRANCE,FONTAINEBLEAU,212716,168109,380825,
Ecomusée,2010,ILE-DE-FRANCE,SAVIGNY-LE-TEMPLE,0,9055,9055,
Musée de l'Air et de l'Espace,2010,ILE-DE-FRANCE,LE BOURGET,164034,88973,253007,
Musée Emile Jean,2010,ILE-DE-FRANCE,VILLIERS-SUR-MARNE,0,1500,1500,
Musée de la Renaissance - Château d'Ecouen,2010,ILE-DE-FRANCE,ECOUEN,16658,42393,59051,
Musée Archéologique du Val d'Oise,2010,ILE-DE-FRANCE,GUIRY-EN-VEXIN,0,9164,9164,
Musée Camille Pissarro,2010,ILE-DE-FRANCE,PONTOISE,0,3799,3799,
Musée du Jouet Pierre Pinel,2010,ILE-DE-FRANCE,POISSY,12239,4524,16763,
Musée Départemental Maurice Denis,2010,ILE-DE-FRANCE,SAINT-GERMAIN-EN-LAYE,10799,16614,27413,
Muséum Agricole et Industriel Stella Matutina,2010,LA REUNION,PITON-SAINT-LEU,40790,11371,52161,
Musée Archéologique,2010,LANGUEDOC-ROUSSILLON,SALLELES D'AUDE,6850,0,6850,
Musée Albert André,2010,LANGUEDOC-ROUSSILLON,BAGNOLS-SUR-CEZE,343,4204,4547,
Musée Cévenol,2010,LANGUEDOC-ROUSSILLON,LE VIGAN,2711,1781,4492,
Musée d'Histoire Naturelle et de Préhistoire,2010,LANGUEDOC-ROUSSILLON,NIMES,0,65417,65417,
Musée Paul Raymond,2010,LANGUEDOC-ROUSSILLON,PONT-SAINT-ESPRIT,0,1182,1182,
Musée Municipal Georges Borias,2010,LANGUEDOC-ROUSSILLON,UZES,1212,1409,2621,
Musée des Beaux-Arts de Béziers,2010,LANGUEDOC-ROUSSILLON,BEZIERS,4335,11223,15558,
Musée de l'Etang de Thau,2010,LANGUEDOC-ROUSSILLON,BOUZIGUES,15693,258,15951,
Musée Municipal,2010,LANGUEDOC-ROUSSILLON,FRONTIGNAN-LA-PEYRADE,0,5113,5113,
Musée Archéologique,2010,LANGUEDOC-ROUSSILLON,MINERVE,6272,0,6272,
Musée Paul Valéry,2010,LANGUEDOC-ROUSSILLON,SETE,47250,6361,53611,
Musée du Président Jacques Chirac,2010,LIMOUSIN,SARRAN,50165,9126,59291,
Musée du Pays d'Ussel,2010,LIMOUSIN,USSEL,0,4542,4542,
Musée Départemental d'Art Contemporain,2010,LIMOUSIN,ROCHECHOUART,6994,5532,12526,
Musée Municipal des Emaux et Faïences,2010,LORRAINE,LONGWY,4023,2031,6054,
Musée des Beaux-Arts de Nancy,2010,LORRAINE,NANCY,41273,56755,98028,
Musée Jeanne d'Arc,2010,LORRAINE,VAUCOULEURS,572,1113,1685,
Musée de la Princerie,2010,LORRAINE,VERDUN,1990,2400,4390,
Maison du Verre et du Cristal,2010,LORRAINE,MEISENTHAL,14494,3249,17743,
Musées de la Cour d'Or,2010,LORRAINE,METZ,17091,29667,46758,
Musée de la Lutherie et de l'Archèterie Française,2010,LORRAINE,MIRECOURT,6289,4177,10466,
Musée Charles Friry,2010,LORRAINE,REMIREMONT,369,1701,2070,
Musée Pierre Noël - Musée de la Vie dans les Hautes-Vosges,2010,LORRAINE,SAINT-DIE-DES-VOSGES,4326,9769,14095,
Musée Régional d'Histoire et d'Ethnologie,2010,MARTINIQUE,FORT-DE-FRANCE,2408,2661,5069,
Musée Départemental de l'Ariège,2010,MIDI-PYRENEES,FOIX,80492,6677,87169,
Musée du Textile et du Peigne en Corne,2010,MIDI-PYRENEES,LAVELANET,1050,170,1220,
Musée Fenaille,2010,MIDI-PYRENEES,RODEZ,5726,14469,20195,
Musée du Charroi Rural et de l'Artisanat Traditionnel,2010,MIDI-PYRENEES,SALMIECH,500,1510,2010,
Musée de l'Armagnac,2010,MIDI-PYRENEES,CONDOM,3434,377,3811,
Musée Archéologique,2010,MIDI-PYRENEES,EAUZE,3840,1749,5589,
Musée des Beaux-Arts et des Arts Décoratifs,2010,MIDI-PYRENEES,MIRANDE,600,505,1105,
Musée Municipal,2010,MIDI-PYRENEES,MARTRES-TOLOSANE,940,5088,6028,
Musée Paul Dupuy,2010,MIDI-PYRENEES,TOULOUSE,3419,7689,11108,
Musée Pyrénéen,2010,MIDI-PYRENEES,LOURDES,68591,3909,72500,
Musée-château Gaston Phébus,2010,MIDI-PYRENEES,MAUVEZIN,33636,0,33636,
Musée Municipal,2010,MIDI-PYRENEES,VAYRAC,187,0,187,
Musée Toulouse Lautrec,2010,MIDI-PYRENEES,ALB,125775,35647,161422,
Musée des Beaux-Arts,2010,MIDI-PYRENEES,GAILLAC,1733,2721,4454,
Musée Raymond Lafage,2010,MIDI-PYRENEES,LISLE-SUR-TARN,1198,2997,4195,
Musée du Vieil Auvillar,2010,MIDI-PYRENEES,AUVILLAR,2276,808,3084,
Musée d'Histoire Naturelle Victor Brun,2010,MIDI-PYRENEES,MONTAUBAN,1130,6261,7391,
Musée Ingres,2010,MIDI-PYRENEES,MONTAUBAN,17019,25333,42352,
Musée de l'Ostrevant,2010,NORD-PAS-DE-CALAIS,BOUCHAIN,293,519,812,
Lieu d'Art et Action Contemporaine de Dunkerque - LAAC,2010,NORD-PAS-DE-CALAIS,DUNKERQUE,23408,0,23408,
Musée des Beaux-Arts,2010,NORD-PAS-DE-CALAIS,DUNKERQUE,8716,0,8716,
Ecomusée de la Région,2010,NORD-PAS-DE-CALAIS,FOURMIES,32258,16555,48813,
Musée Municipal d'Hazebrouck,2010,NORD-PAS-DE-CALAIS,HAZEBROUCK,772,3690,4462,
Musée de l'Hospice Comtesse,2010,NORD-PAS-DE-CALAIS,LILLE,66312,0,66312,
Palais des Beaux-Arts de Lille,2010,NORD-PAS-DE-CALAIS,LILLE,90674,115938,206612,
Musée d'Art et d'Industrie,2010,NORD-PAS-DE-CALAIS,TOURCOING,8058,16117,24175,
Musée d'Art Moderne de Lille Métropole,2010,NORD-PAS-DE-CALAIS,VILLENEUVE-D'ASCQ,48843,39919,88762,
Musée d'Histoire et d'Archéologie,2010,NORD-PAS-DE-CALAIS,HARNES,0,1106,1106,
Musée Municipal,2010,NORD-PAS-DE-CALAIS,LE TOUQUET-PARIS-PLAGE,3223,2124,5347,
Musée d'Initiation à la Nature,2010,BASSE-NORMANDIE,CAEN,0,3043,3043,
Musée d'Ethnographie et d'Arts Populaires et Musée de la Marine,2010,BASSE-NORMANDIE,HONFLEUR,16485,988,17473,
Musée de la Mine,2010,BASSE-NORMANDIE,LE MOLAY-LITTRY,5537,56,5593,
Musée de la Meunerie - Moulin de Marcy,2010,BASSE-NORMANDIE,LE MOLAY-LITTRY,4455,3146,7601,
Château de Saint-Germain de Livet,2010,BASSE-NORMANDIE,SAINT-GERMAIN DE LIVET,8249,11516,19765,
Musée de la Bataille de Tilly-Sur-Seulles 1944,2010,BASSE-NORMANDIE,TILLY-SUR-SEULLES,539,691,1230,
Musée de la Pomme et de la Poire,2010,BASSE-NORMANDIE,BARENTON,525,2664,3189,
Musée Thomas Henry,2010,BASSE-NORMANDIE,CHERBOURG-EN-COTENTIN,0,28130,28130,
Musée de la Guerre et de la Libération,2010,BASSE-NORMANDIE,CHERBOURG-EN-COTENTIN,5240,7731,12971,
Musée Christian Dior,2010,BASSE-NORMANDIE,GRANVILLE,37643,8980,46623,
Musée des Beaux-Arts,2010,BASSE-NORMANDIE,SAINT-LO,2181,6432,8613,
Musée du Granit,2010,BASSE-NORMANDIE,SAINT-MICHEL-DE-MONTJOIE,1250,496,1746,
Musée du Château,2010,BASSE-NORMANDIE,TORIGNI-SUR-VIRE,100,700,800,
Musée des Beaux-Arts et de la Dentelle,2010,BASSE-NORMANDIE,ALENCON,8801,7413,16214,
Musée du Percheron,2010,BASSE-NORMANDIE,MORTAGNE-AU-PERCHE,0,864,864,
Musée Municipal,2010,HAUTE-NORMANDIE,BERNAY,3578,12708,16286,
Musée de l'Ancien Evêché,2010,HAUTE-NORMANDIE,EVREUX,0,18051,18051,
Musée Alfred Canel,2010,HAUTE-NORMANDIE,PONT-AUDEMER,1221,3417,4638,
Musée Alphonse-Georges Poulain,2010,HAUTE-NORMANDIE,VERNON,7152,12493,19645,
Pavillon Flaubert,2010,HAUTE-NORMANDIE,CANTELEU,0,785,785,
Muséum d'Histoire Naturelle,2010,HAUTE-NORMANDIE,LE HAVRE,0,38065,38065,
Musée des Traditions et Arts Normands,2010,HAUTE-NORMANDIE,MARTAINVILLE-EPREVILLE,8773,9324,18097,
Musée-Maison Natale Pierre Corneille,2010,HAUTE-NORMANDIE,ROUEN,0,3985,3985,
Musée Flaubert et d'Histoire de la Médecine,2010,HAUTE-NORMANDIE,ROUEN,4327,5250,9577,
Musée d'Art de Nantes,2010,PAYS DE LA LOIRE,NANTES,48299,79674,127973,
Musée du Château des Ducs de Bretagne,2010,PAYS DE LA LOIRE,NANTES,93303,95376,188679,
Musée du Chaume/Kerhinet - PNR Brière,2010,PAYS DE LA LOIRE,SAINT-LYPHARD,0,50349,50349,
Musée d'Art et d'Histoire,2010,PAYS DE LA LOIRE,CHOLET,1572,14419,15991,
Musée du Vieux Château,2010,PAYS DE LA LOIRE,LAVAL,6609,12188,18797,
Ecomusée du Marais Breton Vendéen,2010,PAYS DE LA LOIRE,LA BARRE-DE-MONTS,21994,9202,31196,
Musée Clemenceau et de Lattre-de-Tassigny,2010,PAYS DE LA LOIRE,MOUILLERON-EN-PAREDS,1571,4605,6176,
Musée Municipal de Soissons,2010,PICARDIE,SOISSONS,0,25603,25603,
Musée de la Résistance et de la Déportation,2010,PICARDIE,TERGNIER,19013,0,19013,
Musée du Château de Compiègne,2010,PICARDIE,COMPIEGNE,36512,51498,88010,
Musée de Picardie,2010,PICARDIE,AMIENS,8620,31702,40322,
Musée des Arts du Cognac (Annexe musée municipal),2010,POITOU-CHARENTES,COGNAC,6716,5316,12032,
Musée Régional de Fouras,2010,POITOU-CHARENTES,FOURAS,4993,1468,6461,
Musée Napoléonien et Africain,2010,POITOU-CHARENTES,ILE D'AIX,12778,10606,23384,
Muséum d'Histoire Naturelle,2010,POITOU-CHARENTES,LA ROCHELLE,9254,32422,41676,
Musée Archéologique,2010,POITOU-CHARENTES,SAINTES,1118,41690,42808,
Musée de Bressuire,2010,POITOU-CHARENTES,BRESSUIRE,0,4722,4722,
Musée Bernard d’Agesci,2010,POITOU-CHARENTES,NIORT,3048,9055,12103,
